iter	Passed	Remaining
0	5	5860
1	11	5528
2	16	5358
3	20	5153
4	26	5221
5	31	5154
6	36	5119
7	41	5188
8	47	5189
9	52	5164
10	56	5106
11	62	5117
12	67	5135
13	75	5300
14	80	5274
15	86	5307
16	92	5369
17	97	5340
18	102	5269
19	107	5282
20	112	5261
21	118	5289
22	124	5306
23	130	5290
24	135	5282
25	140	5279
26	146	5265
27	150	5226
28	156	5226
29	161	5227
30	167	5226
31	172	5212
32	177	5203
33	183	5227
34	190	5251
35	196	5251
36	201	5239
37	206	5221
38	211	5221
39	216	5207
40	222	5196
41	227	5197
42	232	5178
43	237	5161
44	243	5161
45	248	5151
46	253	5144
47	259	5144
48	263	5113
49	268	5105
50	273	5095
51	279	5101
52	284	5091
53	290	5086
54	295	5079
55	301	5081
56	307	5092
57	313	5088
58	318	5080
59	325	5107
60	331	5096
61	336	5085
62	341	5081
63	346	5073
64	352	5064
65	357	5063
66	363	5057
67	368	5047
68	374	5051
69	379	5045
70	384	5034
71	390	5030
72	395	5017
73	400	5007
74	406	5008
75	411	4997
76	416	4987
77	422	4990
78	427	4981
79	432	4972
80	438	4970
81	443	4966
82	449	4965
83	455	4968
84	460	4959
85	466	4952
86	471	4946
87	476	4936
88	481	4927
89	487	4927
90	492	4923
91	498	4916
92	503	4914
93	508	4905
94	514	4901
95	519	4892
96	524	4886
97	530	4882
98	535	4871
99	539	4859
100	545	4852
101	551	4851
102	556	4843
103	561	4839
104	567	4835
105	572	4827
106	578	4826
107	583	4818
108	588	4807
109	593	4798
110	598	4790
111	603	4784
112	608	4778
113	613	4770
114	618	4762
115	623	4755
116	628	4746
117	634	4741
118	639	4734
119	644	4728
120	649	4720
121	655	4713
122	659	4701
123	664	4697
124	670	4690
125	674	4681
126	680	4676
127	685	4669
128	691	4667
129	697	4668
130	702	4662
131	708	4657
132	713	4654
133	719	4647
134	723	4638
135	729	4636
136	734	4627
137	739	4620
138	744	4612
139	750	4608
140	754	4595
141	759	4590
142	764	4582
143	770	4580
144	776	4578
145	781	4572
146	787	4567
147	793	4565
148	798	4558
149	803	4553
150	809	4552
151	814	4541
152	819	4536
153	825	4535
154	830	4528
155	835	4519
156	841	4520
157	847	4516
158	853	4512
159	858	4505
160	863	4499
161	868	4492
162	874	4490
163	879	4483
164	884	4478
165	890	4473
166	895	4467
167	901	4463
168	906	4459
169	912	4452
170	918	4451
171	923	4444
172	928	4437
173	934	4435
174	939	4429
175	944	4420
176	950	4419
177	956	4415
178	961	4411
179	967	4407
180	973	4403
181	977	4393
182	983	4389
183	989	4387
184	994	4381
185	1000	4380
186	1006	4374
187	1012	4371
188	1018	4368
189	1023	4362
190	1029	4360
191	1035	4357
192	1040	4349
193	1046	4349
194	1052	4344
195	1057	4337
196	1063	4335
197	1069	4330
198	1074	4323
199	1080	4321
200	1085	4316
201	1091	4311
202	1097	4307
203	1102	4303
204	1109	4302
205	1115	4299
206	1120	4290
207	1125	4284
208	1130	4277
209	1135	4270
210	1140	4266
211	1146	4260
212	1151	4253
213	1157	4252
214	1162	4245
215	1168	4240
216	1173	4235
217	1179	4230
218	1183	4222
219	1189	4218
220	1194	4211
221	1199	4204
222	1204	4198
223	1210	4191
224	1215	4185
225	1220	4180
226	1226	4175
227	1231	4169
228	1235	4161
229	1240	4154
230	1246	4148
231	1252	4144
232	1257	4139
233	1262	4132
234	1266	4122
235	1272	4117
236	1277	4113
237	1284	4111
238	1289	4104
239	1294	4099
240	1299	4091
241	1304	4087
242	1309	4080
243	1315	4074
244	1321	4071
245	1326	4065
246	1331	4057
247	1336	4052
248	1342	4048
249	1348	4044
250	1353	4038
251	1358	4031
252	1364	4028
253	1369	4021
254	1374	4015
255	1379	4010
256	1384	4003
257	1390	3998
258	1395	3992
259	1400	3986
260	1405	3980
261	1411	3976
262	1417	3970
263	1423	3969
264	1428	3961
265	1433	3955
266	1438	3949
267	1444	3944
268	1449	3938
269	1455	3934
270	1458	3923
271	1463	3916
272	1468	3911
273	1475	3908
274	1480	3902
275	1485	3896
276	1490	3890
277	1495	3884
278	1501	3879
279	1506	3874
280	1512	3869
281	1518	3865
282	1523	3858
283	1528	3852
284	1533	3847
285	1539	3842
286	1544	3836
287	1549	3830
288	1554	3825
289	1560	3819
290	1566	3815
291	1571	3809
292	1576	3803
293	1581	3798
294	1585	3790
295	1591	3785
296	1598	3782
297	1603	3777
298	1608	3772
299	1614	3768
300	1619	3761
301	1624	3755
302	1630	3749
303	1636	3746
304	1641	3740
305	1646	3734
306	1651	3728
307	1656	3722
308	1662	3717
309	1668	3712
310	1673	3706
311	1678	3700
312	1683	3695
313	1688	3689
314	1694	3685
315	1700	3680
316	1705	3674
317	1710	3669
318	1716	3664
319	1721	3658
320	1727	3653
321	1732	3647
322	1739	3645
323	1744	3640
324	1750	3636
325	1757	3632
326	1762	3628
327	1767	3622
328	1774	3618
329	1779	3612
330	1784	3606
331	1790	3603
332	1795	3597
333	1800	3591
334	1807	3587
335	1812	3581
336	1817	3575
337	1825	3575
338	1830	3569
339	1835	3563
340	1841	3559
341	1847	3553
342	1852	3547
343	1858	3543
344	1862	3536
345	1869	3532
346	1874	3527
347	1879	3521
348	1885	3516
349	1890	3510
350	1895	3505
351	1901	3499
352	1906	3494
353	1911	3488
354	1917	3483
355	1922	3478
356	1928	3474
357	1935	3471
358	1940	3465
359	1946	3460
360	1952	3456
361	1957	3450
362	1962	3444
363	1968	3439
364	1973	3433
365	1978	3427
366	1983	3420
367	1987	3413
368	1992	3407
369	1998	3402
370	2003	3396
371	2008	3390
372	2013	3384
373	2018	3379
374	2024	3374
375	2031	3370
376	2036	3364
377	2041	3359
378	2047	3355
379	2052	3349
380	2057	3343
381	2063	3338
382	2068	3332
383	2073	3327
384	2080	3323
385	2085	3317
386	2090	3311
387	2096	3306
388	2101	3300
389	2106	3294
390	2112	3289
391	2117	3283
392	2122	3277
393	2128	3273
394	2133	3268
395	2139	3262
396	2144	3257
397	2149	3251
398	2154	3245
399	2159	3239
400	2164	3233
401	2169	3227
402	2174	3221
403	2180	3216
404	2185	3211
405	2191	3205
406	2196	3200
407	2201	3194
408	2206	3188
409	2212	3183
410	2217	3177
411	2222	3171
412	2227	3166
413	2232	3160
414	2237	3154
415	2243	3150
416	2248	3144
417	2254	3138
418	2259	3132
419	2264	3126
420	2269	3120
421	2274	3114
422	2279	3109
423	2284	3103
424	2289	3097
425	2295	3092
426	2300	3086
427	2305	3080
428	2310	3074
429	2315	3069
430	2320	3063
431	2325	3057
432	2330	3051
433	2335	3046
434	2340	3040
435	2346	3034
436	2351	3029
437	2356	3023
438	2361	3017
439	2366	3011
440	2371	3005
441	2376	3000
442	2381	2994
443	2386	2988
444	2391	2982
445	2396	2977
446	2401	2971
447	2406	2965
448	2412	2960
449	2418	2955
450	2424	2950
451	2429	2945
452	2434	2939
453	2440	2934
454	2445	2929
455	2450	2923
456	2456	2918
457	2461	2912
458	2466	2907
459	2472	2901
460	2476	2896
461	2481	2890
462	2486	2884
463	2491	2878
464	2496	2872
465	2501	2866
466	2506	2861
467	2511	2855
468	2516	2849
469	2521	2843
470	2526	2837
471	2531	2832
472	2536	2825
473	2541	2819
474	2545	2813
475	2550	2808
476	2555	2802
477	2560	2796
478	2565	2790
479	2570	2784
480	2576	2780
481	2582	2775
482	2587	2769
483	2592	2764
484	2598	2758
485	2604	2754
486	2610	2749
487	2615	2744
488	2621	2739
489	2626	2733
490	2631	2727
491	2636	2722
492	2641	2717
493	2647	2711
494	2652	2706
495	2657	2700
496	2663	2695
497	2668	2690
498	2673	2684
499	2679	2679
500	2684	2673
501	2688	2667
502	2694	2662
503	2699	2656
504	2704	2650
505	2710	2646
506	2715	2640
507	2720	2635
508	2726	2630
509	2731	2624
510	2736	2618
511	2741	2613
512	2746	2607
513	2752	2602
514	2758	2597
515	2763	2592
516	2768	2586
517	2773	2580
518	2778	2575
519	2783	2569
520	2789	2564
521	2794	2558
522	2799	2553
523	2805	2548
524	2810	2542
525	2816	2537
526	2821	2532
527	2826	2526
528	2832	2521
529	2837	2516
530	2843	2511
531	2848	2506
532	2854	2501
533	2859	2495
534	2864	2489
535	2871	2485
536	2876	2480
537	2882	2475
538	2887	2469
539	2892	2464
540	2897	2458
541	2904	2454
542	2910	2449
543	2915	2443
544	2921	2439
545	2926	2433
546	2933	2429
547	2938	2424
548	2943	2417
549	2949	2413
550	2954	2407
551	2959	2402
552	2964	2396
553	2969	2390
554	2974	2384
555	2980	2380
556	2985	2374
557	2990	2368
558	2996	2363
559	3001	2357
560	3006	2352
561	3011	2347
562	3016	2341
563	3021	2335
564	3026	2330
565	3031	2324
566	3036	2319
567	3042	2313
568	3047	2308
569	3052	2302
570	3057	2297
571	3062	2291
572	3067	2286
573	3072	2280
574	3077	2275
575	3083	2269
576	3088	2264
577	3094	2259
578	3099	2253
579	3104	2247
580	3109	2242
581	3114	2236
582	3118	2230
583	3123	2224
584	3128	2219
585	3133	2213
586	3138	2208
587	3143	2202
588	3148	2196
589	3153	2191
590	3158	2185
591	3163	2180
592	3168	2174
593	3173	2169
594	3179	2163
595	3184	2158
596	3189	2152
597	3194	2147
598	3199	2141
599	3204	2136
600	3209	2130
601	3214	2125
602	3219	2119
603	3224	2113
604	3229	2108
605	3235	2103
606	3240	2097
607	3245	2092
608	3251	2087
609	3257	2082
610	3263	2078
611	3269	2072
612	3274	2067
613	3279	2062
614	3284	2056
615	3289	2050
616	3295	2045
617	3300	2039
618	3305	2034
619	3310	2028
620	3315	2023
621	3320	2017
622	3325	2012
623	3330	2006
624	3335	2001
625	3341	1996
626	3348	1991
627	3353	1986
628	3359	1981
629	3364	1976
630	3369	1970
631	3374	1965
632	3380	1959
633	3385	1954
634	3390	1948
635	3395	1943
636	3400	1938
637	3406	1932
638	3411	1927
639	3416	1921
640	3422	1916
641	3427	1911
642	3432	1905
643	3437	1900
644	3443	1894
645	3448	1889
646	3453	1884
647	3458	1878
648	3464	1873
649	3469	1868
650	3474	1862
651	3479	1857
652	3484	1851
653	3489	1846
654	3494	1840
655	3499	1835
656	3504	1829
657	3509	1824
658	3514	1818
659	3519	1813
660	3524	1807
661	3529	1802
662	3534	1796
663	3539	1791
664	3544	1785
665	3549	1780
666	3554	1774
667	3559	1769
668	3564	1763
669	3569	1758
670	3574	1752
671	3579	1747
672	3584	1741
673	3589	1736
674	3594	1730
675	3600	1725
676	3605	1720
677	3610	1714
678	3615	1709
679	3620	1703
680	3625	1698
681	3631	1693
682	3636	1687
683	3642	1682
684	3647	1677
685	3652	1671
686	3657	1666
687	3662	1660
688	3667	1655
689	3672	1650
690	3677	1644
691	3682	1639
692	3687	1633
693	3693	1628
694	3698	1623
695	3703	1617
696	3708	1612
697	3713	1606
698	3718	1601
699	3723	1595
700	3728	1590
701	3733	1584
702	3738	1579
703	3743	1574
704	3748	1568
705	3753	1563
706	3758	1557
707	3763	1552
708	3769	1547
709	3774	1541
710	3779	1536
711	3784	1530
712	3789	1525
713	3794	1519
714	3799	1514
715	3804	1509
716	3809	1503
717	3814	1498
718	3819	1492
719	3824	1487
720	3829	1482
721	3834	1476
722	3839	1471
723	3844	1465
724	3849	1460
725	3854	1454
726	3859	1449
727	3864	1444
728	3869	1438
729	3875	1433
730	3880	1427
731	3885	1422
732	3890	1417
733	3895	1411
734	3900	1406
735	3905	1401
736	3910	1395
737	3916	1390
738	3921	1384
739	3926	1379
740	3931	1374
741	3936	1368
742	3941	1363
743	3946	1357
744	3951	1352
745	3956	1347
746	3961	1341
747	3966	1336
748	3971	1330
749	3976	1325
750	3981	1320
751	3986	1314
752	3991	1309
753	3996	1303
754	4001	1298
755	4006	1293
756	4011	1287
757	4016	1282
758	4021	1276
759	4027	1271
760	4033	1266
761	4038	1261
762	4043	1255
763	4048	1250
764	4053	1245
765	4058	1239
766	4063	1234
767	4068	1228
768	4073	1223
769	4078	1218
770	4083	1212
771	4088	1207
772	4093	1202
773	4098	1196
774	4103	1191
775	4108	1186
776	4113	1180
777	4118	1175
778	4123	1169
779	4128	1164
780	4134	1159
781	4138	1153
782	4143	1148
783	4149	1143
784	4154	1137
785	4159	1132
786	4164	1127
787	4169	1121
788	4174	1116
789	4179	1111
790	4184	1105
791	4189	1100
792	4194	1094
793	4199	1089
794	4204	1084
795	4209	1078
796	4214	1073
797	4219	1068
798	4225	1062
799	4230	1057
800	4235	1052
801	4240	1046
802	4245	1041
803	4250	1036
804	4255	1030
805	4260	1025
806	4265	1020
807	4270	1014
808	4275	1009
809	4280	1004
810	4285	998
811	4290	993
812	4295	988
813	4300	982
814	4305	977
815	4310	972
816	4315	966
817	4320	961
818	4325	956
819	4330	950
820	4335	945
821	4340	940
822	4346	934
823	4351	929
824	4356	924
825	4361	918
826	4367	913
827	4373	908
828	4378	903
829	4383	897
830	4388	892
831	4393	887
832	4398	881
833	4403	876
834	4408	871
835	4414	865
836	4420	860
837	4425	855
838	4431	850
839	4436	844
840	4441	839
841	4446	834
842	4451	829
843	4456	823
844	4461	818
845	4466	813
846	4471	807
847	4476	802
848	4481	797
849	4486	791
850	4491	786
851	4496	781
852	4501	775
853	4506	770
854	4511	765
855	4516	759
856	4521	754
857	4526	749
858	4531	743
859	4536	738
860	4541	733
861	4546	727
862	4552	722
863	4557	717
864	4561	711
865	4567	706
866	4571	701
867	4576	696
868	4581	690
869	4586	685
870	4591	680
871	4596	674
872	4601	669
873	4606	664
874	4611	658
875	4616	653
876	4621	648
877	4626	642
878	4631	637
879	4636	632
880	4641	626
881	4646	621
882	4651	616
883	4656	611
884	4661	605
885	4666	600
886	4671	595
887	4676	589
888	4681	584
889	4686	579
890	4691	573
891	4696	568
892	4701	563
893	4706	558
894	4711	552
895	4716	547
896	4721	542
897	4726	536
898	4731	531
899	4736	526
900	4742	521
901	4747	515
902	4752	510
903	4757	505
904	4762	499
905	4767	494
906	4772	489
907	4777	484
908	4782	478
909	4787	473
910	4792	468
911	4798	462
912	4803	457
913	4809	452
914	4813	447
915	4818	441
916	4823	436
917	4828	431
918	4833	426
919	4838	420
920	4843	415
921	4848	410
922	4853	404
923	4858	399
924	4863	394
925	4868	389
926	4873	383
927	4878	378
928	4883	373
929	4888	367
930	4893	362
931	4898	357
932	4903	352
933	4908	346
934	4913	341
935	4918	336
936	4923	331
937	4928	325
938	4933	320
939	4938	315
940	4943	309
941	4948	304
942	4953	299
943	4958	294
944	4963	288
945	4968	283
946	4973	278
947	4979	273
948	4984	267
949	4989	262
950	4994	257
951	4999	252
952	5004	246
953	5009	241
954	5014	236
955	5019	231
956	5024	225
957	5029	220
958	5035	215
959	5039	209
960	5044	204
961	5050	199
962	5055	194
963	5060	188
964	5065	183
965	5070	178
966	5075	173
967	5080	167
968	5085	162
969	5090	157
970	5095	152
971	5100	146
972	5105	141
973	5110	136
974	5115	131
975	5120	125
976	5124	120
977	5129	115
978	5134	110
979	5139	104
980	5144	99
